,Unnamed: 0,代碼,公司名稱
818,171,5385,瑩寶
819,172,5386,青雲國際
820,173,5387,茂德
821,174,5388,中磊
822,175,5392,怡安
823,176,5395,普揚
824,177,5398,力瑋
825,178,5401,第三波
826,179,5403,中菲
827,180,5410,國眾
828,181,5414,磐英
829,182,5425,台半
830,183,5426,振發
831,184,5432,達威
832,185,5434,崇越
833,186,5436,立生
834,187,5438,東友
835,188,5439,高技企業
836,189,5442,世峰
837,190,5443,均豪
838,191,5450,寶聯
839,192,5452,佶優
840,193,5455,訊利電
841,194,5457,宣得
842,195,5460,同協電子
843,196,5464,霖宏科技
844,197,5465,富驊
845,198,5466,泰林
846,199,5467,聯瞻
847,200,5468,台晶
848,201,5469,瀚宇博德
849,202,5471,松翰科技
850,203,5473,矽成
851,204,5474,聰泰
852,205,5475,德宏
853,206,5478,智冠
854,207,5480,統盟
855,208,5481,華韡電子
856,209,5483,中美晶
857,210,5484,慧友電
858,211,5487,通泰
859,212,5488,松普科技
860,213,5489,彩富
861,214,5490,同亨
862,215,5491,連展
863,216,5492,亞智科
864,217,5493,三聯科技
865,218,5494,德鑫
866,219,5497,佰鈺科技
867,220,5498,凱崴
868,221,6101,弘捷
869,222,6103,合邦
870,223,6104,創惟科技
871,224,6105,瑞傳科技
872,225,6107,華美
873,226,6108,競國
874,227,6109,亞元
875,228,6110,艾群科技
876,229,6111,大宇資
877,230,6112,聚碩
878,231,6113,亞矽
879,232,6114,翔昇
880,233,6115,鎰勝
881,234,6116,彩晶
882,235,6117,迎廣科技
883,236,6118,建達國際
884,237,6119,大傳
885,238,6120,輔祥
886,239,6121,新普科技
887,240,6122,擎邦國際
888,241,6123,上奇
889,242,6124,業強
890,243,6125,廣運
891,244,6126,信音
892,245,6127,九豪
893,246,6129,普誠
894,247,6130,亞全
895,248,6131,悠克
896,249,6132,銳普
897,250,6133,金橋
898,251,6134,萬旭
899,252,6135,佳營
900,253,6136,富爾特
901,254,6137,新寶科
902,255,6138,茂達
903,256,6139,亞翔
904,257,6140,訊達
905,258,6141,柏承
906,259,6142,友勁
907,260,6143,振曜
908,261,6144,得利影
909,262,6145,勁永
910,263,6146,耕興
911,264,6147,頎邦
912,265,6148,和平
913,266,6149,陸德
914,267,6150,撼訊
915,268,6151,晉倫
916,269,6152,百一
917,270,6153,嘉聯益
918,271,6154,順發
919,272,6155,鈞寶
920,273,6156,科橋
921,274,6157,一等
922,275,6158,禾昌
923,276,6159,詮鼎
924,277,6160,欣技
925,278,6161,捷波
926,279,6162,鴻源科
927,280,6163,華電網
928,281,6164,華興
929,282,6165,捷泰
930,283,6166,凌華
931,284,6167,久正
932,285,6168,宏齊
933,286,6169,昱泉
934,287,6170,統振
935,288,6171,亞銳士
936,289,6172,互億
937,290,6173,信昌電
938,291,6174,安碁
939,292,6175,立敦
940,293,6176,瑞儀光電
